Character,Meaning
士,"surname Shi; member of the senior ministerial class (old), scholar (old), bachelor, honorific, soldier, noncommissioned officer, specialist worker"
敏,"(bound form) quick; nimble; agile, (bound form) quick-witted; smart"
龍,"surname Long; Chinese dragon; loong, (fig.) emperor, dragon, (bound form) dinosaur"
如,"as, as if, such as"
逸,"to escape, leisurely, outstanding"
杰,"(bound form) hero, heroic, outstanding person, prominent, distinguished; variant of 傑|杰[jie2]"
清,"Qing (Wade-Giles: Ch'ing) dynasty of China (1644–1911), surname Qing; (of water etc) clear; clean, quiet; still, pure; uncorrupted, clear; distinct, to clear; to settle (accounts)"
孟,"surname Meng; first month of a season, eldest amongst brothers"
浩,"grand, vast (water)"
啟,"Qi son of Yu the Great 禹[Yu3], reported founder of the Xia Dynasty 夏朝[Xia4 Chao2] (c. 2070-c. 1600 BC); to open, to start, to initiate, to enlighten or awaken, to state, to inform"
緯,"latitude, woof (horizontal thread in weaving), weft"
仲,"surname Zhong; second month of a season, middle, intermediate, second amongst brothers"
麗,Korea; beautiful
萍,duckweed
庭,"main hall, front courtyard, law court"
韋,surname Wei; soft leather
佑,(bound form) to bless; to protect
昇,"to ascend; to rise (variant of 升[sheng1]), to promote; to elevate (variant of 升[sheng1]); (used as a surname and in given names)"
恩,"variant of 恩[en1]; favor; grace; kindness, (coll.) used like 嗯[en4] in online chat, expressing agreement"
書,"abbr. for 書經|书经[Shu1 jing1]; book, letter, document, CL:本[ben3],冊|册[ce4],部[bu4], to write"
雄,"male, staminate, grand, imposing, powerful, mighty, person or state having great power and influence"
東,"surname Dong; east, host (i.e. sitting on east side of guest), landlord"
博,"(bound form) abundant; plentiful; extensive; wide, to win; to gain, to play; to gamble, learned; well-read, (bound form) doctoral degree (abbr. for 博士[bo2 shi4]), (bound form) blog (abbr. for 博客[bo2 ke4]); old variant of 博[bo2]"
民,"surname Min; (bound form) the people, inhabitants of a country"
倫,"human relationship, order, coherence"
勳,(bound form) meritorious accomplishment
毅,"firm and resolute, staunch"
誠,"(bound form) sincere; authentic, (literary) really; truly"
景,"surname Jing; (bound form) scenery, circumstance, situation, scene (of a play), (literary) sunlight"
漢,"Han ethnic group, Chinese (language), the Han dynasty (206 BC-220 AD); man"
佩,"to respect, to wear (belt etc); girdle ornaments"
堯,"surname Yao, Yao or Tang Yao (c. 2200 BC), one of the Five legendary Emperors 五帝[Wu3 Di4], second son of Di Ku 帝嚳|帝喾[Di4 Ku4]"
瑜,"excellence, luster of gems"
峰,"variant of 峰[feng1]; (of a mountain) high and tapered peak or summit, mountain-like in appearance, highest level, classifier for camels"
隆,"surname Long, short for 吉隆坡[Ji2 long2 po1], Kuala Lumpur; sound of drums; grand, intense, prosperous, to swell, to bulge"
平,"surname Ping; flat, level, equal, to tie (make the same score), to draw (score), calm, peaceful, abbr. for 平聲|平声[ping2 sheng1]"
琪,(literary) fine jade
奕,"abundant, graceful"
曉,"dawn, daybreak, to know, to let sb know, to make explicit"
芬,"perfume, fragrance"
秉,"surname Bing; to grasp, to hold, to maintain"
涵,"to contain, to include, culvert"
儀,"apparatus, rites, appearance, present, ceremony"
坤,"one of the Eight Trigrams 八卦[ba1 gua4], symbolizing earth, female principle, ☷, ancient Chinese compass point: 225° (southwest); variant of 坤[kun1]"
弘,"great, liberal"
憲,"statute, constitution"
辰,"5th earthly branch: 7-9 a.m., 3rd solar month (5th April-4th May), year of the Dragon, ancient Chinese compass point: 120°"
源,"root, source, origin"
強,"surname Qiang; stubborn, unyielding; strong, powerful, better, slightly more than, vigorous, violent, best in their category, e.g. see 百強|百强[bai3 qiang2]; to force, to compel, to strive, to make an effort"
福,"surname Fu, abbr. for Fujian province 福建省[Fu2 jian4 Sheng3]; good fortune, happiness, luck"
雯,multicolored clouds
進,"to go forward, to advance, to go in, to enter, to put in, to submit, to take in, to admit, (math.) base of a number system, classifier for sections in a building or residential compound"
秋,"surname Qiu; autumn, fall, harvest time; old variant of 秋[qiu1]; used in 鞦韆|秋千[qiu1 qian1]"
思,"to think, to consider"
遠,"far, distant, remote, (intensifier in a comparison) by far, much (lower etc); to distance oneself from (classical)"
揚,"abbr. for Yangzhou 揚州|扬州[Yang2 zhou1] in Jiangsu, surname Yang; to raise, to hoist, the action of tossing or winnowing, scattering (in the wind), to flutter, to propagate"
珊,coral
秀,"(bound form) refined; elegant; graceful; beautiful, (bound form) superior; excellent, (loanword) show, (literary) to grow; to bloom; (of grain crops) to produce ears"
麟,variant of 麟[lin2]; see 麒麟[qi2 lin2]
興,"surname Xing; to rise, to flourish, to become popular, to start, to encourage, to get up, (often used in the negative) to permit or allow (dialect), maybe (dialect); feeling or desire to do sth, interest in sth, excitement"
金,"surname Jin, surname Kim (Korean), Jurchen Jin dynasty (1115–1234); gold, chemical element Au, generic term for lustrous and ductile metals, money, golden, highly respected, one of the eight categories of ancient musical instruments 八音[ba1 yin1]"
娟,"beautiful, graceful"
青,"abbr. for 青海[Qing1 hai3], Qinghai Province; green, blue, black, youth, young (of people)"
修,"surname Xiu; to decorate, to embellish, to repair, to build, to write, to cultivate, to study, to take (a class); variant of 修[xiu1]"
程,"surname Cheng; rule, order, regulations, formula, journey, procedure, sequence"
義,"surname Yi, (Tw) Italy (abbr. for 義大利|义大利[Yi4 da4 li4]); justice, righteousness, meaning, foster (father etc), adopted, artificial (tooth, limb etc), relationship, friendship"
生,"to be born, to give birth, life, to grow, raw, uncooked, student"
雲,"surname Yun, abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 Sheng3]; cloud, CL:朵[duo3]"
聰,"(literary) acute (of hearing), (bound form) clever; intelligent; sharp"
全,"surname Quan; all, whole, entire, every, complete"
皓,"variant of 皓[hao4]; (bound form) bright; luminous; white (esp. bright white teeth of youth or white hair of old age); variant of 皓[hao4], spotlessly white"
豐,"surname Feng; abundant, plentiful, fertile, plump, great"
吉,"surname Ji, abbr. for Jilin 吉林省[Ji2 lin2 Sheng3]; lucky, giga- (meaning billion or 10^9)"
泰,"Mt Tai 泰山[Tai4 Shan1] in Shandong, abbr. for Thailand; safe, peaceful, most, grand"
一,"one, single, a (article), as soon as, entire; whole; all; throughout, ""one"" radical in Chinese characters (Kangxi radical 1), also pr. [yao1] for greater clarity when spelling out numbers digit by digit"
昭,"bright, clear, manifest, to show clearly"
駿,spirited horse
錦,"brocade, embroidered work, bright"
任,"surname Ren; to assign, to appoint, to take up a post, office, responsibility, to let, to allow, to give free rein to, no matter (how, what etc), classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)"
旭,"dawn, rising sun"
盈,"full, filled, surplus"
新,"abbr. for Xinjiang 新疆[Xin1 jiang1], abbr. for Singapore 新加坡[Xin1 jia1 po1], surname Xin; new, newly, meso- (chemistry)"
靜,"still, calm, quiet, not moving"
和,"old variant of 和[he2]; surname He; (joining two nouns) and; together with; with (Taiwan pr. [han4]), (math.) sum, to make peace, (sports) to draw; to tie, (bound form) harmonious, (bound form) Japan; Japanese; to compose a poem in reply (to sb's poem) using the same rhyme sequence, to join in the singing, to chime in with others; to complete a set in mahjong or playing cards; to combine a powdery substance (flour, plaster etc) with water, Taiwan pr. [huo4]; to mix (ingredients) together, to blend, classifier for rinses of clothes, classifier for boilings of medicinal herbs; (literary) harmonious (variant of 和[he2])"
紹,"surname Shao; to continue, to carry on"
琳,gem
峻,"(of mountains) high, harsh or severe"
彬,urbane; well-bred; cultivated
松,"surname Song; pine, CL:棵[ke1]; loose, to loosen, to relax, floss (dry, fluffy food product made from shredded, seasoned meat or fish, used as a topping or filling)"
亮,"bright; light, to shine; to flash, loud and clear, to show (one's passport etc); to make public (one's views etc)"
致,"(bound form) fine; delicate; exquisite; (literary) to send; to transmit; to convey, (bound form) to cause; to lead to; consequently"
欽,"surname Qin; to respect, to admire, to venerate, by the emperor himself"
瑩,luster of gems
春,"old variant of 春[chun1]; surname Chun; spring (season), gay, joyful, youthful, love, lust, life"
學,"to learn, to study, to imitate, science, -ology"
英,"United Kingdom, British, England, English, abbr. for 英國|英国[Ying1 guo2]; hero, outstanding, excellent, (literary) flower, blossom"
蓉,"short name for Chengdu 成都[Cheng2 du1]; paste made by mashing beans or seeds etc, used in 芙蓉[fu2 rong2], lotus"
鳳,surname Feng; phoenix
祐,"(of divinity) to bless, to protect"
天,"day, sky, heaven"
詠,to sing
兆,"surname Zhao; (bound form) omen, to foretell, million; mega-, (Tw) trillion; tera-, (old) billion"
伯,"variant of 霸[ba4]; one hundred (old); father's elder brother, senior, paternal elder uncle, eldest of brothers, respectful form of address, Count, third of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]"
齊,"(name of states and dynasties at several different periods), surname Qi; neat, even, level with, identical, simultaneous, all together, to even sth out"
崇,"surname Chong; high, sublime, lofty, to esteem, to worship"
澤,"pool, pond, (of metals etc) luster, favor or beneficence, damp, moist"
邦,(bound form) country; nation; state
郁,"variant of 鬱|郁[yu4]; surname Yu; (bound form) strongly fragrant; old variant of 鬱|郁[yu4]; (bound form) (of vegetation) lush; luxuriant, (bound form) melancholy; depressed"
潔,clean
斌,variant of 彬[bin1]
章,"surname Zhang; chapter, section, clause, movement (of symphony), seal, badge, regulation, order"
錫,"tin (chemistry), to bestow, to confer, to grant, Taiwan pr. [xi2]"
誌,"sign, mark, to record, to write a footnote"
超,"to exceed, to overtake, to surpass, to transcend, to pass, to cross, ultra-, super-"
勇,brave
敬,"(bound form) respectful; to respect, to offer politely"
婉,"graceful, tactful"
樺,(botany) birch (genus Betula)
培,"to bank up with earth, to cultivate (lit. or fig.), to train (people)"
旻,heaven
基,"(bound form) base; foundation, (bound form) radical (chemistry), (bound form) gay (loanword from English into Cantonese, Jyutping: gei1, followed by orthographic borrowing from Cantonese)"
山,"surname Shan; mountain; hill (CL:座[zuo4]), (coll.) small bundle of straw for silkworms to spin cocoons on"
宸,imperial apartments
易,"surname Yi, abbr. for 易經|易经[Yi4 jing1], the Book of Changes; easy, amiable, to change, to exchange, prefix corresponding to the English adjective suffix ""-able"" or ""-ible"""
沛,"copious, abundant"
莉,"used in 茉莉[mo4 li4], used in the transliteration of female names"
晉,"surname Jin, the Jin Dynasties (265–420), Western Jin 西晉|西晋[Xi1 Jin4] (265–316), Eastern Jin 東晉|东晋[Dong1 Jin4] (317–420) and Later Jin Dynasty (936–946), short name for Shanxi province 山西[Shan1 xi1]; to move forward, to promote, to advance"
珮,girdle ornaments
閔,surname Min; old variant of 憫|悯[min3]
展,"surname Zhan; to spread out, to open up, to exhibit, to put into effect, to postpone, to prolong, exhibition"
昆,"variant of 崑|昆[kun1]; used in place names, notably Kunlun Mountains 崑崙|昆仑[Kun1 lun2], (also used for transliteration); descendant, elder brother, a style of Chinese poetry"
詩,"abbr. for Shijing 詩經|诗经[Shi1 jing1], the Book of Songs; poem, CL:首[shou3], poetry, verse"
鈺,"treasure, hard metal"
舜,"Shun (c. 23rd century BC), mythical sage and leader"
奇,"odd (number); strange, odd, weird, wonderful, surprisingly, unusually"
茂,"luxuriant, (chemistry) cyclopentadiene"
淳,"genuine, pure, honest; old variant of 淳[chun2]"
珍,"precious thing, treasure, culinary delicacy, rare, valuable, to value highly; variant of 珍[zhen1]"
騰,"(bound form) to gallop; to prance, (bound form) to soar; to hover, to make room; to clear out; to vacate, (verb suffix indicating repeated action)"
碩,"(bound form) large; big, (bound form) master's degree (abbr. for 碩士|硕士[shuo4 shi4])"
治,"to rule, to govern, to manage, to control, to harness (a river), to treat (a disease), to wipe out (a pest), to punish, to research"
馨,fragrant
煌,brilliant
業,"surname Ye; line of business, industry, occupation, job, employment, school studies, enterprise, property, (Buddhism) karma, deed, to engage in, already"
丞,deputy
陽,"positive (electric.), sun, male principle (Taoism), Yang, opposite: 陰|阴[yin1]"
堅,"strong, solid, firm, unyielding, resolute"
岳,"surname Yue; wife's parents and paternal uncles; high mountain, highest peak of a mountain ridge"
真,"really, truly, indeed, real, true, genuine"
武,"surname Wu; martial, military"
淵,"deep pool, deep, profound"
燕,"Yan, a vassal state of Zhou in present-day Hebei and Liaoning, north Hebei, the four Yan kingdoms of the Sixteen Kingdoms, namely: Former Yan 前燕[Qian2 Yan1] (337–370), Later Yan 後燕|后燕[Hou4 Yan1] (384–409), Southern Yan 南燕[Nan2 Yan1] (398–410), Northern Yan 北燕[Bei3 Yan1] (409–436), surname Yan; swallow (family Hirundinidae), old variant of 宴[yan4]; variant of 燕[yan4]"
森,"Mori (Japanese surname); (bound form) densely wooded, (fig.) (bound form) multitudinous; gloomy; forbidding"
大,"big; large; great, older (than another person), eldest (as in 大姐[da4 jie3]), greatly; freely; fully, (dialect) father, (dialect) uncle (father's brother); see 大夫[dai4 fu5]"
剛,"hard, firm, strong, just, barely, exactly"
叡,variant of 睿[rui4]
慈,"compassionate, gentle, merciful, kind, humane"
星,"star, heavenly body, satellite, small amount"
泓,"clear, vast and deep, classifier for a body of clear water"
昀,"sun light, used in personal name"
貴,"abbr. for Guizhou Province 貴州|贵州[Gui4 zhou1]; expensive, (bound form) highly valued; precious, (bound form) noble; of high rank, (prefix) (honorific) your"
鵬,"Peng, large fabulous bird, roc"
蘭,"surname Lan, abbr. for Lanzhou 蘭州|兰州[Lan2 zhou1], Gansu; orchid (蘭花|兰花 Cymbidium goeringii), fragrant thoroughwort (蘭草|兰草 Eupatorium fortunei), lily magnolia (木蘭|木兰)"
繼,"to continue, to follow after, to go on with, to succeed, to inherit, then, afterwards"
鑫,"(used in names of people and shops, symbolizing prosperity)"
菁,"leek flower, lush, luxuriant"
原,"surname Yuan, (Japanese surname) Hara; former, original, primary, raw, level, cause, source"
蓁,"abundant, luxuriant vegetation"
寶,"jewel, gem, treasure, precious"
茹,"surname Ru; to eat, (extended meaning) to endure, putrid smell, vegetables, roots (inextricably attached to the plant)"
萱,orange day-lily (Hemerocallis flava); old variant of 萱[xuan1]
恒,"surname Heng; permanent, constant, fixed, usual, ordinary, rule (old), one of the 64 hexagrams of the Book of Changes (䷟); variant of 恆|恒[heng2]"
林,"surname Lin, Japanese surname Hayashi; (bound form) woods; forest, (bound form) circle(s) (i.e. specific group of people), (bound form) a collection (of similar things)"
尚,"surname Shang; still, yet, to value, to esteem"
于,"surname Yu; to go, to take, sentence-final interrogative particle, variant of 於|于[yu2]; (of time or place) in; at; on, (indicating any indirect relation) to; toward; vis-à-vis; with regard to; for, (indicating a source) from; out of, (used in comparison) than, (used in the passive voice) by"
均,"equal, even, all, uniform"
盛,"surname Sheng; to hold, to contain, to ladle, to pick up with a utensil; flourishing, vigorous, magnificent, extensively"
容,"surname Rong; to hold, to contain, to allow, to tolerate, appearance, look, countenance"
仕,"to serve as an official, an official, the two chess pieces in Chinese chess guarding the ""general"" or ""king"" 將|将[jiang4]"
銓,"to estimate, to select"
璋,"jade tablet used in ceremonies, shaped like the left or right half of a ""gui"" 圭[gui1], also given to male infants to play with"
綺,"beautiful, open-work silk"
億,100 million
名,"name, noun (part of speech), place (e.g. among winners), famous, classifier for people"
素,"raw silk, white, plain, unadorned, vegetarian (food), essence, nature, element, constituent, usually, always, ever"
川,"abbr. for Sichuan Province 四川[Si4 chuan1] in southwest China; (bound form) river, creek, plain, an area of level country"
炳,"bright, brilliant, luminous"
璇,(jade); variant of 璇[xuan2]
海,"surname Hai; ocean, sea, CL:個|个[ge4],片[pian4], great number of people or things, (dialect) numerous"
禎,"auspicious, lucky"
其,"his, her, its, their, that, such, it (refers to sth preceding it)"
煒,"glowing, bright, brilliant"
睿,"variant of 睿[rui4]; astute, perspicacious, farsighted"
峯,variant of 峰[feng1]
綸,"to classify, to twist silk, silk thread"
帆,"variant of 帆[fan1]; sail, Taiwan pr. [fan2], except 帆布[fan1 bu4] canvas; to gallop, Taiwan pr. [fan2], variant of 帆[fan1]"
宥,"to forgive, to help, profound"
若,"used in 般若[bo1 re3], used in 蘭若|兰若[lan2 re3]; to seem, like, as, if"
梅,"surname Mei; plum, plum flower, Japanese apricot (Prunus mume); variant of 梅[mei2]; old variant of 梅[mei2]"
倩,"pretty, winsome, to ask for sb's help, son-in-law (old)"
人,"person; people, CL:個|个[ge4],位[wei4]"
朝,"abbr. for 朝鮮|朝鲜[Chao2 xian3] Korea; imperial or royal court, government, dynasty, reign of a sovereign or emperor, court or assembly held by a sovereign or emperor, to make a pilgrimage to, facing, towards; morning"
發,"to send out, to show (one's feeling), to issue, to develop, to make a bundle of money, classifier for gunshots (rounds)"
順,"to obey, to follow, to arrange, to make reasonable, along, favorable"
長,"long, (bound form) length, (bound form) strong point; forte, (bound form) to be good at, (literary) surplus; spare (Taiwan pr. [zhang4]); chief, head, elder, to grow, to develop, to increase, to enhance"
霆,clap of thunder
鋒,"point of a spear, edge of a tool, vanguard, forward (in sports team)"
巧,"opportunely, coincidentally, as it happens, skillful, timely"
啓,variant of 啟|启[qi3]
寧,"abbr. for Ningxia Hui Autonomous Region 寧夏回族自治區|宁夏回族自治区[Ning2 xia4 Hui2 zu2 Zi4 zhi4 qu1], abbr. for Nanjing 南京[Nan2 jing1], surname Ning; peaceful, to pacify, to visit (one's parents etc); would rather, to prefer, how (emphatic), Taiwan pr. [ning2]"
彰,"clear, conspicuous, manifest"
靖,"surname Jing; (bound form) peaceful, (bound form) to pacify; to suppress"
融,"to melt, to thaw, to blend, to merge, to be in harmony; old variant of 融[rong2]"
重,"to repeat, repetition, again, re-, classifier: layer; heavy, serious, to attach importance to"
群,"variant of 群[qun2]; group, crowd, flock, herd, pack etc"
守,"to guard, to defend, to keep watch, to abide by the law, to observe (rules or ritual), nearby, adjoining"
心,"heart, mind, intention, center, core, CL:顆|颗[ke1],個|个[ge4]"
賓,"visitor, guest, object (in grammar)"
鼎,"ancient cooking cauldron with two looped handles and three or four legs, pot (dialect), to enter upon a period of (classical), Kangxi radical 206, one of the 64 hexagrams of the Book of Changes"
之,"(possessive particle, literary equivalent of 的[de5]), him, her, it"
至,"to arrive, most, to, until"
貞,chaste
棋,"variant of 棋[qi2]; chess, chess-like game, a game of chess, CL:盤|盘[pan2], chess piece, CL:個|个[ge4],顆|颗[ke1]"
竣,"complete, finish"
克,"abbr. for 克羅地亞|克罗地亚[Ke4 luo2 di4 ya4], Croatia, (Tw) abbr. for 克羅埃西亞|克罗埃西亚[Ke4 luo2 ai1 xi1 ya4], Croatia; to be able to, to subdue, to restrain, to overcome, gram, Tibetan unit of land area, about 6 ares; Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; variant of 克[ke4], to subdue, to overthrow, to restrain; variant of 剋|克[ke4]"
琦,(literary) fine jade
勤,"diligent; industrious; hardworking, frequent; regular; constant, (bound form) work; duty; attendance; variant of 勤[qin2], industrious, solicitous"
呈,"to present to a superior, memorial, petition, to present (a certain appearance), to assume (a shape), to be (a certain color)"
諭,order (from above)
凡,"ordinary, commonplace, mundane, temporal, of the material world (as opposed to supernatural or immortal levels), every, all, whatever, altogether, gist, outline, note of Chinese musical scale; variant of 凡[fan2]"
暉,"sunshine, to shine upon, variant of 輝|辉[hui1]"
竹,"(bound form) bamboo, Kangxi radical 118"
毓,(literary) to produce; to foster; to nurture
妤,used in 婕妤[jie2 yu2]
登,"to scale (a height), to ascend, to mount, to publish or record, to enter (e.g. in a register), to press down with the foot, to step or tread on, to put on (shoes or trousers) (dialect), to be gathered and taken to the threshing ground (old)"
然,"correct, right, so, thus, like this, -ly"
桂,"surname Gui, abbr. for Guangxi Autonomous Region 廣西壯族自治區|广西壮族自治区[Guang3 xi1 Zhuang4 zu2 Zi4 zhi4 qu1]; cassia, laurel"
有,"to have; there is, (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)"
堂,"(main) hall, large room for a specific purpose, CL:間|间[jian1], relationship between cousins etc on the paternal side of a family, of the same clan, classifier for classes, lectures etc, classifier for sets of furniture"
恆,"surname Heng; permanent, constant, fixed, usual, ordinary, rule (old), one of the 64 hexagrams of the Book of Changes (䷟)"
誼,"friendship, also pr. [yi2]"
惟,"-ism, only"
宣,"surname Xuan; to declare (publicly), to announce"
謙,modest
麒,used in 麒麟[qi2 lin2]
綱,"head rope of a fishing net, guiding principle, key link, class (taxonomy), outline, program"
宛,"surname Wan; winding, as if"
紘,"cord for hat, vast"
甫,"(classical) barely, just, just now"
卿,"high ranking official (old), term of endearment between spouses (old), (from the Tang Dynasty onwards) term used by the emperor for his subjects (old), honorific (old)"
得,"to obtain, to get, to gain, to catch (a disease), proper, suitable, proud, contented, to allow, to permit, ready, finished; used in 得瑟[de4 se5]; structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; to have to, must, ought to, to need to"
傳,"to pass on, to spread, to transmit, to infect, to transfer, to circulate, to conduct (electricity); biography, historical narrative, commentaries, relay station"
瑄,ornamental piece of jade
瓊,"abbr. for Hainan Province 海南[Hai3 nan2]; jasper, fine jade, beautiful, exquisite (e.g. wine, food), abbr. for Hainan province"
依,"to depend on, to comply with or listen to sb, according to, in the light of"
經,"surname Jing; classics, sacred book, scripture, to pass through, to undergo, to bear, to endure, warp (textile), longitude, menstruation, channel (TCM), abbr. for economics 經濟|经济[jing1 ji4]"
祖,"surname Zu; ancestor, forefather, grandparents"
